group,subset,n_contrasts,n_same_sign,pct_same_sign
metric=CSQ-8,|Δ primary| ≥ 0.10,3,3,100.0
metric=CSQ-8,|Δ primary| ≥ 0.25,0,0,
metric=CSQ-8,|Δ primary| ≥ 0.50,0,0,
metric=CSQ-8,judge CI excludes 0,2,2,100.0
metric=CSQ-8,primary p_holm < 0.05,2,2,100.0
metric=CSQ-8,judge p_holm < 0.05,1,1,100.0
metric=CSQ-8,both graders p_holm < 0.05,1,1,100.0
metric=CSQ-8,iteration >= 1 (base row excluded),15,10,66.7
metric=MI-SAT,all contrasts,17,13,76.5
metric=MI-SAT,|Δ primary| ≥ 0.10,3,3,100.0
metric=MI-SAT,|Δ primary| ≥ 0.25,0,0,
metric=MI-SAT,|Δ primary| ≥ 0.50,0,0,
metric=MI-SAT,judge CI excludes 0,2,2,100.0
metric=MI-SAT,primary p_holm < 0.05,2,2,100.0
metric=MI-SAT,judge p_holm < 0.05,2,2,100.0
metric=MI-SAT,both graders p_holm < 0.05,2,2,100.0
metric=MI-SAT,iteration >= 1 (base row excluded),15,11,73.3
metric=MITI,all contrasts,17,15,88.2
metric=MITI,|Δ primary| ≥ 0.10,6,5,83.3
metric=MITI,|Δ primary| ≥ 0.25,0,0,
metric=MITI,|Δ primary| ≥ 0.50,0,0,
metric=MITI,judge CI excludes 0,11,11,100.0
metric=MITI,primary p_holm < 0.05,1,1,100.0
metric=MITI,judge p_holm < 0.05,9,9,100.0
metric=MITI,both graders p_holm < 0.05,1,1,100.0
metric=MITI,iteration >= 1 (base row excluded),15,13,86.7
metric=PCT,all contrasts,17,13,76.5
metric=PCT,|Δ primary| ≥ 0.10,0,0,
metric=PCT,|Δ primary| ≥ 0.25,0,0,
metric=PCT,|Δ primary| ≥ 0.50,0,0,
metric=PCT,judge CI excludes 0,5,5,100.0
metric=PCT,primary p_holm < 0.05,2,2,100.0
metric=PCT,judge p_holm < 0.05,4,4,100.0
metric=PCT,both graders p_holm < 0.05,2,2,100.0
metric=PCT,iteration >= 1 (base row excluded),15,12,80.0
metric=MICI,all contrasts,17,14,82.4
metric=MICI,|Δ primary| ≥ 0.10,3,3,100.0
metric=MICI,|Δ primary| ≥ 0.25,0,0,
metric=MICI,|Δ primary| ≥ 0.50,0,0,
metric=MICI,judge CI excludes 0,6,6,100.0
metric=MICI,primary p_holm < 0.05,5,5,100.0
metric=MICI,judge p_holm < 0.05,4,4,100.0
metric=MICI,both graders p_holm < 0.05,4,4,100.0
metric=MICI,iteration >= 1 (base row excluded),15,13,86.7
