contrast,judge,selected_on,budget_gpu_h,metric,channel,direction,iter_a,iter_b,model_a,model_b,mean_a,mean_b,n,mean_delta,dz,ci_lo,ci_hi,p,p_holm,delta_K0_minus_K5,dz_K0_minus_K5
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,0.20258131030189855,0.14245981839763389,96,0.060121491904264655,0.4097638899073917,0.033573863873345315,0.09084959171227718,0.00028644040221103797,0.0005085817508789589,-0.060121491904264655,-0.4097638899073917
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,3.5625,5.645833333333333,96,-2.0833333333333335,-0.6879048968835284,-2.65625,-1.5208333333333333,8.551273274463101e-09,4.27563663723155e-08,2.0833333333333335,0.6879048968835284
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,B6_AF,Affirmations (MITI),higher=more MI-consistent,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,0.59375,1.2083333333333333,96,-0.6145833333333334,-0.3753136537849004,-0.9479166666666666,-0.2916666666666667,0.00025429087543947943,0.0005085817508789589,0.6145833333333334,0.3753136537849004
GRPO_K,gpt-4o-mini,Q1Q2 (gpt-4o-mini) best-within-budget,27.08,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,0.037683617954757664,0.094572479435716,96,-0.05688886148095832,-0.4404633888139108,-0.08281316152323748,-0.030298597673465707,0.00011328874222360136,0.00033986622667080406,0.05688886148095832,0.4404633888139108
GRPO_K,text (grader-independent),Q1Q2 (gpt-4o-mini) best-within-budget,27.08,conv_len,Conversation length,count (no valence),4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,25.78125,24.114583333333332,96,1.6666666666666667,0.11202590281735222,-1.32421875,4.572916666666667,0.19976348308593395,0.19976348308593395,-1.6666666666666667,-0.11202590281735222
GRPO_K,text (grader-independent),Q1Q2 (gpt-4o-mini) best-within-budget,27.08,mean_turn_len,Turn length (chars),count (no valence),4,8,GRPOExp3_LA5_I4,GRPOExp3_LA0_I8,450.51113685436286,822.1926958542371,96,-371.68155899987414,-1.7773800757741072,-413.39473258776627,-330.06357849306414,4.2817208962145666e-17,8.563441792429133e-17,371.68155899987414,1.7773800757741072
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,MICI_OverPraise,Over-praise / session (MICI),lower=better,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,0.6666666666666666,3.9791666666666665,96,-3.3125,-1.133986000030524,-3.90625,-2.7395833333333335,5.117753573183344e-14,3.0706521439100065e-13,3.3125,1.133986000030524
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,0.05426996354966557,0.3831196269313046,96,-0.328849663381639,-1.508878560219832,-0.3722313714725068,-0.2857895944404144,4.2744788423848625e-16,2.9921351896694036e-15,0.328849663381639,1.508878560219832
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,5.21875,3.2708333333333335,96,1.9479166666666667,0.6777497972894829,1.3955729166666666,2.5208333333333335,9.169248021626528e-09,4.5846240108132646e-08,-1.9479166666666667,-0.6777497972894829
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,0.456707416107571,0.3433079286697707,96,0.11339948743780014,0.40982942285728263,0.056011989157052536,0.16666169991890156,3.99876425848901e-05,0.00011480028227366232,-0.11339948743780014,-0.40982942285728263
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,6.802083333333333,7.447916666666667,96,-0.6458333333333334,-0.1348830803978593,-1.5625,0.2916666666666667,0.09094502041146954,0.09094502041146954,0.6458333333333334,0.1348830803978593
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,B6_AF,Affirmations (MITI),higher=more MI-consistent,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,0.4270833333333333,1.0833333333333333,96,-0.65625,-0.4460259868836519,-0.9377604166666667,-0.375,3.826676075788744e-05,0.00011480028227366232,0.65625,0.4460259868836519
PTO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,19.68,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,7,9,PTOExp3_LA5_I7,PTOExp3_LA0_I9,0.029313805863970338,0.09852986164663796,96,-0.06921605578266762,-0.5915030690164746,-0.09230371389468842,-0.04592797240299297,1.3134050250088404e-07,5.253620100035362e-07,0.06921605578266762,0.5915030690164746
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,MICI_OverPraise,Over-praise / session (MICI),lower=better,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,0.4375,0.53125,96,-0.09375,-0.0951854750966735,-0.3020833333333333,0.10416666666666667,0.4567639284171945,0.913527856834389,0.09375,0.0951854750966735
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,MICI_OverPraise_rate,Over-praise / turn (MICI),lower=better,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,0.038981361583263756,0.03988807713902149,96,-0.0009067155557577388,-0.011756171067193344,-0.0169454133742559,0.014399406897529736,0.9364829385808993,0.9364829385808993,0.0009067155557577388,0.011756171067193344
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,MICI_AdviseNoPermission,Advise w/o permission / session (MICI),lower=better,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,5.614583333333333,4.260416666666667,96,1.3541666666666667,0.39796584862566875,0.6666666666666666,2.0,9.272020582414235e-05,0.00027816061747242704,-1.3541666666666667,-0.39796584862566875
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,MICI_AdviseNoPermission_rate,Advise w/o permission / turn (MICI),lower=better,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,0.5101141812432973,0.32023625375404513,96,0.18987792748925222,0.8233867512038479,0.14422461289629177,0.23512632414900106,1.805558423539904e-10,1.263890896477933e-09,-0.18987792748925222,-0.8233867512038479
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,MICI_BehaviorTotal,MI-Incon. acts / session (MICI),lower=better,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,7.135416666666667,5.447916666666667,96,1.6875,0.4333413286986961,0.90625,2.4583333333333335,5.451524798978936e-05,0.00021806099195915743,-1.6875,-0.4333413286986961
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,B6_AF,Affirmations (MITI),higher=more MI-consistent,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,0.3020833333333333,0.9895833333333334,96,-0.6875,-0.6152425909609556,-0.90625,-0.4791666666666667,3.9324420252121604e-08,2.359465215127296e-07,0.6875,0.6152425909609556
GRPO_K,claude-haiku-4-5,Q1Q2 (claude-haiku-4-5) best-within-budget,27.08,B6_AF_per_turn,Affirmations / turn (MITI),higher=more MI-consistent,5,3,GRPOExp3_LA5_I5,GRPOExp3_LA0_I3,0.025458503478204567,0.07036692394115585,96,-0.04490842046295127,-0.5670444929816741,-0.06059446489322045,-0.028954025748862442,3.7278082653983825e-07,1.8639041326991912e-06,0.04490842046295127,0.5670444929816741
