judge,method,iteration,item,short,group,n,mean_K0,mean_K5,k_delta,k_dz,k_ci_lo,k_ci_hi,k_p,k_p_holm
gpt-4o-mini,GRPO,5,2,revealed his thinking,Self-disclosure,96,3.75,3.7083333333333335,0.041666666666666664,0.055350930346255954,-0.10442708333333332,0.1875,0.5838265019904172,1.0
gpt-4o-mini,GRPO,5,3,shared his feelings,Self-disclosure,96,2.8854166666666665,2.8958333333333335,-0.010416666666666666,-0.0166936325548873,-0.13541666666666666,0.11458333333333333,0.8694170607412391,1.0
gpt-4o-mini,GRPO,5,4,knew how I was feeling,Empathy/understanding,96,4.15625,4.208333333333333,-0.052083333333333336,-0.10206207261596575,-0.15625,0.052083333333333336,0.31731050786291415,1.0
gpt-4o-mini,GRPO,5,5,understood me,Empathy/understanding,96,4.104166666666667,4.177083333333333,-0.07291666666666667,-0.14986420182013258,-0.16666666666666666,0.03125,0.14439979221307142,1.0
gpt-4o-mini,GRPO,5,6,put himself in my shoes,Empathy/understanding,96,3.8229166666666665,3.7916666666666665,0.03125,0.038402979992832015,-0.13541666666666666,0.1875,0.7206485724732408,1.0
gpt-4o-mini,GRPO,5,7,comfortable talking,Fluency/ease,96,4.510416666666667,4.5,0.010416666666666666,0.016259840180865116,-0.11458333333333333,0.14583333333333334,0.8653331824329092,1.0
gpt-4o-mini,GRPO,5,8,relaxed and secure,Fluency/ease,96,4.53125,4.53125,0.0,0.0,-0.11458333333333333,0.13541666666666666,0.9899085462805509,1.0
gpt-4o-mini,GRPO,5,9,took charge,Direction/control,96,3.8645833333333335,3.8020833333333335,0.0625,0.08478358720056402,-0.08333333333333333,0.20833333333333334,0.4070030927216962,1.0
gpt-4o-mini,GRPO,5,10,said when happy/sad,Self-disclosure,96,3.1041666666666665,3.25,-0.14583333333333334,-0.23070926608873416,-0.2708333333333333,-0.020833333333333332,0.02666275017980586,0.4532667530566996
gpt-4o-mini,GRPO,5,11,no difficulty w/ words,Fluency/ease,96,4.541666666666667,4.53125,0.010416666666666666,0.017676739199450706,-0.10416666666666667,0.13541666666666666,0.8519805045567919,1.0
gpt-4o-mini,GRPO,5,12,expressed himself,Fluency/ease,96,4.541666666666667,4.53125,0.010416666666666666,0.017676739199450706,-0.10416666666666667,0.13541666666666666,0.8519805045567919,1.0
gpt-4o-mini,GRPO,5,13,a 'warm' partner,Warmth/closeness,96,3.9375,3.9583333333333335,-0.020833333333333332,-0.027643390062671656,-0.16666666666666666,0.13541666666666666,0.8016570860242458,1.0
gpt-4o-mini,GRPO,5,14,did not judge me,Non-judgment/equality,96,4.645833333333333,4.645833333333333,0.0,0.0,-0.125,0.125,0.9583854030125216,1.0
gpt-4o-mini,GRPO,5,15,treated me as equal,Non-judgment/equality,96,4.583333333333333,4.541666666666667,0.041666666666666664,0.06134064126848859,-0.08333333333333333,0.1875,0.5736994037687295,1.0
gpt-4o-mini,GRPO,5,16,made me feel cared for,Warmth/closeness,96,4.375,4.416666666666667,-0.041666666666666664,-0.051646302104933955,-0.19791666666666666,0.13541666666666666,0.6131713743779275,1.0
gpt-4o-mini,GRPO,5,17,made me feel close,Warmth/closeness,96,4.166666666666667,4.364583333333333,-0.19791666666666666,-0.2140229406444778,-0.37526041666666665,-0.010416666666666666,0.054243541959000656,0.8678966713440105
claude-haiku-4-5,PTO,10,1,sense of who he was,Self-disclosure,96,3.09375,2.71875,0.375,0.4862603366965558,0.21875,0.53125,1.7871364725419485e-05,0.00025019910615587277
claude-haiku-4-5,PTO,10,2,revealed his thinking,Self-disclosure,96,2.3541666666666665,2.1875,0.16666666666666666,0.29020657841618336,0.052083333333333336,0.28125,0.006069972362023281,0.030349861810116403
claude-haiku-4-5,PTO,10,3,shared his feelings,Self-disclosure,96,3.2083333333333335,2.1041666666666665,1.1041666666666667,1.14104590324742,0.90625,1.2916666666666667,4.931431744175351e-13,8.383433965098096e-12
claude-haiku-4-5,PTO,10,4,knew how I was feeling,Empathy/understanding,96,2.90625,2.75,0.15625,0.19884958159412813,0.0,0.3229166666666667,0.052722418382520994,0.15771304969319244
claude-haiku-4-5,PTO,10,5,understood me,Empathy/understanding,96,2.9583333333333335,2.7916666666666665,0.16666666666666666,0.2009755120968349,0.0,0.3333333333333333,0.050200899441422045,0.15771304969319244
claude-haiku-4-5,PTO,10,6,put himself in my shoes,Empathy/understanding,96,2.90625,2.7395833333333335,0.16666666666666666,0.21089252104024836,0.010416666666666666,0.3333333333333333,0.03942826242329811,0.15771304969319244
claude-haiku-4-5,PTO,10,7,comfortable talking,Fluency/ease,96,3.1458333333333335,2.84375,0.3020833333333333,0.36176768562638967,0.13541666666666666,0.46875,0.0009610391308204762,0.00768831304656381
claude-haiku-4-5,PTO,10,8,relaxed and secure,Fluency/ease,96,3.0208333333333335,2.6875,0.3333333333333333,0.39018404598803075,0.15625,0.5104166666666666,0.0004212356615332918,0.004633592276866209
claude-haiku-4-5,PTO,10,9,took charge,Direction/control,96,2.4375,2.3020833333333335,0.13541666666666666,0.14466683265592084,-0.052083333333333336,0.3229166666666667,0.14608891160050708,0.15771304969319244
claude-haiku-4-5,PTO,10,10,said when happy/sad,Self-disclosure,96,3.0,1.96875,1.03125,1.0006143591290613,0.82265625,1.229427083333332,9.113171001418159e-12,1.4581073602269054e-10
claude-haiku-4-5,PTO,10,11,no difficulty w/ words,Fluency/ease,96,3.625,3.3541666666666665,0.2708333333333333,0.3697909768841048,0.125,0.4166666666666667,0.0007264821280918045,0.006921665666904666
claude-haiku-4-5,PTO,10,12,expressed himself,Fluency/ease,96,3.6458333333333335,3.40625,0.23958333333333334,0.35409988216166666,0.11458333333333333,0.375,0.0010028801085212942,0.00768831304656381
claude-haiku-4-5,PTO,10,13,a 'warm' partner,Warmth/closeness,96,3.2708333333333335,2.7604166666666665,0.5104166666666666,0.6532984916761967,0.3541666666666667,0.6666666666666666,1.048033272816707e-07,1.5720499092250605e-06
claude-haiku-4-5,PTO,10,14,did not judge me,Non-judgment/equality,96,3.7291666666666665,3.4895833333333335,0.23958333333333334,0.36253410527515323,0.11432291666666668,0.375,0.0006921665666904666,0.006921665666904666
claude-haiku-4-5,PTO,10,15,treated me as equal,Non-judgment/equality,96,3.2395833333333335,2.8958333333333335,0.34375,0.4661686587393072,0.19791666666666666,0.4895833333333333,4.006737490292901e-05,0.0005208758737380771
claude-haiku-4-5,PTO,10,16,made me feel cared for,Warmth/closeness,96,3.1354166666666665,2.75,0.3854166666666667,0.4404604206038021,0.20833333333333334,0.5729166666666666,6.433079512967162e-05,0.0007719695415560595
claude-haiku-4-5,PTO,10,17,made me feel close,Warmth/closeness,96,2.8958333333333335,2.65625,0.23958333333333334,0.2977951569499606,0.07291666666666667,0.40625,0.004412627363748407,0.026475764182490442
claude-haiku-4-5,GRPO,5,1,sense of who he was,Self-disclosure,96,2.6875,2.8020833333333335,-0.11458333333333333,-0.14958959824740023,-0.2708333333333333,0.03125,0.14399517131233616,0.5759806852493446
claude-haiku-4-5,GRPO,5,2,revealed his thinking,Self-disclosure,96,2.09375,2.1770833333333335,-0.08333333333333333,-0.12338702919820613,-0.21875,0.041666666666666664,0.22779999398822914,0.6833999819646874
claude-haiku-4-5,GRPO,5,3,shared his feelings,Self-disclosure,96,2.2708333333333335,1.84375,0.4270833333333333,0.4450371361425224,0.24973958333333335,0.625,5.299133938306046e-05,0.0007948700907459069
claude-haiku-4-5,GRPO,5,4,knew how I was feeling,Empathy/understanding,96,2.4479166666666665,2.75,-0.3020833333333333,-0.40736969262239536,-0.4479166666666667,-0.15625,0.00020310556743834206,0.0024372668092601047
claude-haiku-4-5,GRPO,5,5,understood me,Empathy/understanding,96,2.6354166666666665,2.9895833333333335,-0.3541666666666667,-0.4069386488001361,-0.53125,-0.17708333333333334,0.00017273944245689278,0.002245612751939606
claude-haiku-4-5,GRPO,5,6,put himself in my shoes,Empathy/understanding,96,2.4375,2.71875,-0.28125,-0.3556626536457218,-0.4375,-0.125,0.0009222376536352233,0.010144614189987456
claude-haiku-4-5,GRPO,5,7,comfortable talking,Fluency/ease,96,2.7604166666666665,3.0416666666666665,-0.28125,-0.257416178600405,-0.5,-0.07291666666666667,0.009675727127045933,0.06773008988932153
claude-haiku-4-5,GRPO,5,8,relaxed and secure,Fluency/ease,96,2.5104166666666665,2.7916666666666665,-0.28125,-0.2867255455335964,-0.4791666666666667,-0.09375,0.0054469766307953475,0.04357581304636278
claude-haiku-4-5,GRPO,5,9,took charge,Direction/control,96,2.125,2.3645833333333335,-0.23958333333333334,-0.2496549788116589,-0.4270833333333333,-0.041666666666666664,0.01424744615401322,0.07555621158879602
claude-haiku-4-5,GRPO,5,10,said when happy/sad,Self-disclosure,96,1.96875,1.6875,0.28125,0.2722212177096791,0.08333333333333333,0.5,0.012592701931466003,0.07555621158879602
claude-haiku-4-5,GRPO,5,11,no difficulty w/ words,Fluency/ease,96,3.2708333333333335,3.6770833333333335,-0.40625,-0.48318334723491585,-0.5729166666666666,-0.25,1.5038877646296428e-05,0.0002556609199870393
claude-haiku-4-5,GRPO,5,12,expressed himself,Fluency/ease,96,3.3020833333333335,3.6666666666666665,-0.3645833333333333,-0.4578441129590765,-0.5208333333333334,-0.20833333333333334,3.95068934924411e-05,0.0006321102958790575
claude-haiku-4-5,GRPO,5,13,a 'warm' partner,Warmth/closeness,96,2.6666666666666665,2.75,-0.08333333333333333,-0.09119115269878,-0.2604166666666667,0.09401041666666525,0.3593873862322803,0.7187747724645606
claude-haiku-4-5,GRPO,5,14,did not judge me,Non-judgment/equality,96,3.4375,3.6041666666666665,-0.16666666666666666,-0.2999368620428659,-0.28125,-0.0625,0.004679269762635459,0.04211342786371913
claude-haiku-4-5,GRPO,5,15,treated me as equal,Non-judgment/equality,96,3.03125,3.0520833333333335,-0.020833333333333332,-0.028170396476389813,-0.16666666666666666,0.125,0.7771558671158285,0.7771558671158285
claude-haiku-4-5,GRPO,5,16,made me feel cared for,Warmth/closeness,96,2.4479166666666665,2.71875,-0.2708333333333333,-0.3090483757183832,-0.4375,-0.09375,0.0030326240744799164,0.030326240744799164
claude-haiku-4-5,GRPO,5,17,made me feel close,Warmth/closeness,96,2.3229166666666665,2.7083333333333335,-0.3854166666666667,-0.41298628466918397,-0.5729166666666666,-0.19791666666666666,0.0001320007448489878,0.0018480104278858294
